key,date,value01risk,value02risk,value03risk,value04risk,value05risk,value06risk,value07risk,value01ind,value02ind,value03ind,value04ind,value05ind,value06ind,value07ind,deaths01,deaths02,deaths03,deaths04,deaths05,deaths06,deaths07,illnesses01,illnesses02,illnesses03,illnesses04,illnesses05,illnesses06,illnesses07,disruption01,disruption02,disruption03,disruption04,disruption05,disruption06,disruption07
heat,2048,49.3,43.6,65.2,42.4,57.2,48.3,63.1,0,0,0,0,0,0,0,37.8,32.6,49.2,31.7,43,36.2,47.5,88.4,76.2,115,74.2,100.6,84.7,111.2,3.19,2.65,4.05,2.58,3.53,2.96,3.91
heat,2049,50.2,44.3,66.6,42.9,58.5,49.1,64.7,0,0,0,0,0,0,0,38.6,33.2,50.3,32.1,44.1,36.9,48.9,90.2,77.5,117.7,75,103.1,86.2,114.3,3.25,2.69,4.14,2.6,3.62,3.01,4.02
heat,2050,51.1,45,68,43.3,59.8,49.9,66.4,0,0,0,0,0,0,0,39.3,33.7,51.5,32.5,45.1,37.5,50.2,92,78.9,120.4,75.9,105.6,87.8,117.5,3.32,2.74,4.23,2.63,3.7,3.06,4.13
heat,2051,52,45.6,69.4,43.7,61.1,50.7,68,0,0,0,0,0,0,0,40.1,34.3,52.7,32.8,46.2,38.2,51.6,93.9,80.2,123.2,76.8,108.1,89.3,120.7,3.38,2.78,4.33,2.66,3.78,3.11,4.24
heat,2052,52.9,46.3,70.9,44.2,62.4,51.5,69.7,0,0,0,0,0,0,0,40.9,34.9,53.9,33.2,47.3,38.9,53,95.8,81.6,126,77.7,110.7,90.9,123.9,3.45,2.82,4.42,2.68,3.87,3.16,4.35
heat,2053,53.8,47.1,72.3,44.6,63.8,52.3,71.4,0,0,0,0,0,0,0,41.8,35.5,55.1,33.6,48.5,39.5,54.4,97.7,83,128.9,78.6,113.3,92.5,127.2,3.51,2.86,4.52,2.71,3.96,3.21,4.46
heat,2054,54.8,47.8,73.8,45.1,65.1,53.1,73.2,0,0,0,0,0,0,0,42.6,36.1,56.3,34,49.6,40.2,55.8,99.6,84.4,131.8,79.5,116,94.1,130.5,3.58,2.91,4.61,2.73,4.04,3.26,4.57
heat,2055,55.7,48.5,75.3,45.6,66.5,53.9,74.9,0,0,0,0,0,0,0,43.4,36.7,57.6,34.4,50.7,40.9,57.3,101.6,85.8,134.7,80.4,118.6,95.7,133.9,3.65,2.95,4.71,2.76,4.13,3.31,4.68
heat,2056,56.7,49.2,76.8,46,67.9,54.8,76.6,0,0,0,0,0,0,0,44.3,37.3,58.8,34.8,51.9,41.6,58.7,103.6,87.2,137.6,81.4,121.3,97.4,137.3,3.72,3,4.8,2.79,4.22,3.36,4.79
heat,2057,57.7,49.9,78.3,46.5,69.3,55.6,78.4,0,0,0,0,0,0,0,45.2,37.9,60.1,35.2,53,42.3,60.2,105.6,88.7,140.6,82.3,124.1,99,140.8,3.79,3.04,4.9,2.81,4.31,3.41,4.91
heat,2058,58.7,50.7,79.8,47,70.7,56.4,80.2,0,0,0,0,0,0,0,46,38.5,61.4,35.6,54.2,43,61.7,107.7,90.1,143.6,83.3,126.8,100.7,144.3,3.85,3.09,5,2.84,4.4,3.46,5.02
